source,relation,target,evidence,source_url
水稻,HAS_PEST,年小麦春季重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,年全国小麦重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,蚜虫,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,为有效控制病虫,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,小麦病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,坚持防病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,抓住重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,有效防控重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,实现小麦病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,蚜虫等一类病虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
水稻,HAS_PEST,吸浆虫等常发病虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,年粮食作物重大病,中国农业农村信息网_2025年粮食作物重大病虫害防控技术方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,年小麦春季重大病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,年全国小麦重大病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,其中病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,赤霉病,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,条锈病,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,茎基腐病和纹枯病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,为有效控制病,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,小麦病,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,坚持防病,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,抓住重大病,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_DISEASE,有效防控重大病,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,年粮食作物重大病虫,中国农业农村信息网_2025年粮食作物重大病虫害防控技术方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,年小麦春季重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,年全国小麦重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,蚜虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,为有效控制病虫,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,小麦病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,坚持防病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,抓住重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,有效防控重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,实现小麦病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,蚜虫等一类病虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
小麦,HAS_PEST,吸浆虫等常发病虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,年粮食作物重大病,中国农业农村信息网_2025年粮食作物重大病虫害防控技术方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,年小麦春季重大病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,年全国小麦重大病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,其中病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,赤霉病,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,条锈病,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,茎基腐病和纹枯病,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,为有效控制病,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,小麦病,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,坚持防病,坚持防病虫提单产和品质并举， 在玉米单产提升整建制推进县、省部级绿色高产高效示范片等地区实现绿色防控和统防统治融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,抓住重大病,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_DISEASE,有效防控重大病,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,年粮食作物重大病虫,中国农业农村信息网_2025年粮食作物重大病虫害防控技术方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,年小麦春季重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,年全国小麦重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,蚜虫,重点防控玉米螟、粘虫 、蚜虫、 双斑长跗萤叶甲 、 大斑病 、 灰斑病 、穗腐病，兼顾棉铃虫、 地下害虫 、根腐病、北方炭疽病、 茎腐病 、丝黑穗病和线虫矮化病等,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,为有效控制病虫,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,小麦病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,坚持防病虫,坚持防病虫提单产和品质并举， 在玉米单产提升整建制推进县、省部级绿色高产高效示范片等地区实现绿色防控和统防统治融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,抓住重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,有效防控重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,实现小麦病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,蚜虫等一类病虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
玉米,HAS_PEST,吸浆虫等常发病虫,三 、重点防控对象 以小麦条锈病、赤霉病、蚜虫等一类病虫害为重点，关注茎 基腐病、纹枯病等茎基部病害防控，兼顾白粉病、叶锈病、麦蜘蛛、吸浆虫等常发病虫,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,年粮食作物重大病,中国农业农村信息网_2025年粮食作物重大病虫害防控技术方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,年小麦春季重大病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,年全国小麦重大病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,其中病,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,赤霉病,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,条锈病,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,茎基腐病和纹枯病,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,为有效控制病,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,小麦病,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,坚持防病,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,抓住重大病,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_DISEASE,有效防控重大病,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,年粮食作物重大病虫,中国农业农村信息网_2025年粮食作物重大病虫害防控技术方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,年小麦春季重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,年全国小麦重大病虫,2025年小麦春季重大病虫害防控技术方案 据全国农技中心预测， 2025 年全国小麦重大病虫害总体偏重发生，发生面积 9.5 亿亩次，其中病害发生 5.8 亿亩次，虫害发生 3.7 亿亩次,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,蚜虫,赤霉病在长江中下游、江淮和黄淮南部麦区偏重至大流行风险高，条锈病在汉水流域和西北麦区局部偏重发生，茎基腐病和纹枯病在黄淮麦区偏重发生，蚜虫在黄淮海大部麦区偏重发生,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,为有效控制病虫,为有效控制病虫危害、 服务 小麦大面积单产 和品质 提升，特制定本方案,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,小麦病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,坚持防病虫,一、防控目标 小麦病虫害 危害损失 率控制在 5% 以内 ，坚持防病虫提单产和品质并举；小麦单产提升整建制推进县、 优质小麦生产基地、绿色防控 示范基地、省部级绿色高产高效示范片等地区 实现 绿色防控和 统防统治 融合推进,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
大豆,HAS_PEST,抓住重大病虫,二、防控策略 坚持因地制宜、分区施策、分类指导的原则，抓住重大病虫、重点区域、关键时期，开展综合防治和统防统治，强化绿色防控、科学用药、农药减量，有效防控重大病虫危害，实现小麦病虫防控目标，保障小麦生产和质量安全,https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm
